Rationale_clean,N_studies,Percentage,Mean_size_km2
Data Availability,20,41.7,2.2095
Theoretical,18,37.5,1.2725
Prior Research,5,10.4,1.0083
Practical Considerations,3,6.2,1.4673
Not specified,2,4.2,2.215
