Page,Variable,Term,HitsOnPage,Color
13,Independent_Variables,Betweenness network centrality,1,"(0.5, 0.0, 0.5)"
1,Spatial_Unit_Name,Street segments,1,"(0.0, 0.0, 1.0)"
1,Country,Belgium,1,"(1.0, 0.0, 0.0)"
1,Model_Type,Conditional Logit Model,1,"(0.5, 0.0, 0.5)"
1,Data_Collection_Period,November 2017,1,"(1.0, 0.65, 0.0)"
1,Number_of_Units,"2,233",1,"(0.0, 1.0, 0.0)"
1,Crime_Type,Graffiti,1,"(1.0, 0.65, 0.0)"
1,Crime_Incidents,"12,655",1,"(0.0, 1.0, 0.0)"
1,City,Ghent,1,"(1.0, 0.0, 0.0)"
