Country_clean,N_studies,N_justified,Percent_justified
Belgium,3,3,100
China,8,8,100
India,1,1,100
Japan,1,1,100
Netherlands,17,17,100
New Zealand,3,3,100
Northern Ireland,1,1,100
United Kingdom,6,6,100
United States,11,11,100
