Time_Period,n,mean_size,median_size,sd_size,cv_size,mean_variables,prop_choice_models
2003-2010 (Early),10,1.8324,0.675,2.091258802199713,1.1412676283560976,8.5,0.9
2011-2015 (Growth),10,1.5191361,0.42000000000000004,2.6370805575840217,1.7359080319294773,11.5,1
2016-2020 (Maturation),17,1.6048954276470588,0.88,2.106754022928984,1.312704857049597,6.823529411764706,0.9411764705882353
2021-2025 (Recent),14,1.6057746364285714,1.62,0.8333822722409132,0.5189908056428465,10.857142857142858,0.9285714285714286
