Model,R_squared,AIC,RMSE
Linear,0.499136409529634,127.33922649099406,0.7950595404463038
Quadratic,0.5118893653933027,128.0238498377459,0.7848723993344725
Cubic,0.5143120187636757,129.77008982045197,0.7829221867066916
