"Stage","Count"
"Total identified",1674
"Screened (title)",1674
"Excluded (title)",1338
"Screened (abstract)",336
"Excluded (abstract)",245
"Screened (full-text)",91
"Excluded (full-text)",31
"Final included",7
"No decision",0
"Not available",4
"Duplicates",5
"Other language",2
