Variable,VIF
V1,1.5251593537630885
V2,1.110544813420603
V3,1.1873182675912977
V4,1.7944902009158352
V5,1
V6,4
V7,3
V8,3
V9,1.2349734222901676
V10,1.01319260425572
V11,1.0290295783931271
V12,1.1023601752894854
