Predictor,Estimate,Std. Error,t value,Pr(>|t|)
(Intercept),16.309091496974425,3.476130757185395,4.691737059448193,3.948543735826221e-6
age,-0.04991896369136869,0.02104905707432087,-2.3715534389551407,0.018277602959818173
genderVrouw,0.1981446273656359,0.6092940449226725,0.325203617230139,0.7452331851961855
genderNon-binair,7.491709709922964,3.981014659642797,1.88185936260661,0.060727492831504616
genderAnders:,-13.955758483283978,5.779229702101524,-2.414812908060946,0.016276888713626717
genderWil ik liever niet zeggen,3.619098116239142,2.825138557680758,1.281033847490358,0.20106542786295292
educationDiploma Middelbaar,3.0157394167128264,3.405463818191514,0.8855590832012856,0.37649509471181264
educationDiploma Hoger Onderwijs,2.000032277500626,3.3822953794667416,0.5913239540350124,0.5547017990130123
educationWil ik liever niet zeggen,0.9924966216955287,5.215295935556769,0.19030494797599107,0.8491851019176055
housingIk huur een woning/appartement,1.7415604737827368,0.7426705185549551,2.344997452129059,0.019610157399673134
housingIk huur een kot,0.9687107062791372,1.3989630271027005,0.6924491123152623,0.4891505514916399
housingAnders:,2.5152628773382597,1.5891583685645057,1.5827641392407659,0.1144255328041725
