Predictor,Estimate,Std. Error,t value,Pr(>|t|)
(Intercept),18.661640356884753,3.7725714354087145,4.946663218018821,1.195504799717617e-6
age,0.04919910714501292,0.02285264091378432,2.1528849698652057,0.032039218201490416
genderVrouw,-0.6907731357519524,0.662484812802289,-1.0427003342612562,0.2978431473399394
genderNon-binair,2.313043319355677,4.312521289278356,0.5363552233600067,0.5920736153043162
genderAnders:,12.438446080273208,6.27112934684577,1.983445946068622,0.04813163969431198
genderWil ik liever niet zeggen,-4.456971261023915,3.0648929909322558,-1.4542012638647548,0.14682485056559438
educationDiploma Middelbaar,-0.22178680182202193,3.689182237471076,-0.0601181474770561,0.9520977738194896
educationDiploma Hoger Onderwijs,0.3904224139968222,3.66722620938293,0.1064625937167146,0.9152791740181906
educationWil ik liever niet zeggen,0.6138442943205428,5.658308466572924,0.1084854772317372,0.913675422429068
housingIk huur een woning/appartement,-1.5234135518270324,0.806433405682616,-1.8890754538343055,0.0597429006042994
housingIk huur een kot,-1.4778147988322785,1.5221866547941862,-0.9708499244674385,0.3323331878940775
housingAnders:,-2.6347418868024834,1.7216398478632062,-1.53036762600062,0.12687882189742317
