Variable,VIF
V1,1.525159353763089
V2,1.110544813420604
V3,1.1873182675912983
V4,1.7944902009158352
V5,1
V6,4
V7,3
V8,3
V9,1.2349734222901678
V10,1.0131926042557202
V11,1.0290295783931271
V12,1.1023601752894854
